OrderDate,Customer,Product,Quantity,UnitPrice,TotalPrice,SchemeApplied,SchemeName,Status,SalesRep,Notes
2025-10-01,Shop A,Wheat Flour,5,40,200,No,,Accepted,Rep1,Regular purchase
2025-10-01,Shop B,Rava,10,55,550,Yes,Buy10Get1,Accepted,Rep1,Bought after scheme
2025-10-02,Shop C,Upma Semiya,2,30,60,No,,Rejected,Rep2,Customer declined
2025-10-02,Shop D,Ragi Flour,10,120,1200,Yes,Free200g,Accepted,Rep2,Increased quantity for scheme
2025-10-03,Shop E,Kadalai Flour,1,90,90,No,,Accepted,Rep3,One-off
2025-10-03,Shop F,Pasta,12,25,300,Yes,2x250gFree,Accepted,Rep1,Bulk order with scheme
2025-10-04,Shop G,Rusk,6,20,120,Yes,1Free,Accepted,Rep2,Promotional uptake
2025-10-04,Shop H,Cola Chips,2,15,30,No,,Rejected,Rep3,Not interested
2025-10-05,Shop I,Maida,10,35,350,Yes,Free1kg,Accepted,Rep1,Upsold
2025-10-05,Shop J,Idiyappam Flour,3,45,135,No,,Accepted,Rep2,Regular
2025-10-06,Shop K,Bajji Flour,1,60,60,No,,Rejected,Rep2,Price issue
2025-10-06,Shop L,Payasam Semiya,4,50,200,Yes,Buy4Get1,Accepted,Rep3,Trial purchase
2025-10-07,Shop M,Kolukattai Flour,2,55,110,No,,Accepted,Rep1,Regular small order
2025-10-07,Shop N,Hakka Noodles,5,30,150,Yes,6for5,Accepted,Rep2,Used scheme to increase
2025-10-08,Shop O,Gulab Jamun Mix,1,80,80,No,,Rejected,Rep3,Not relevant
2025-10-08,Shop P,Payasam Mix,2,70,140,No,,Accepted,Rep1,Regular
2025-10-09,Shop Q,Chocos,3,45,135,Yes,FreeSample,Accepted,Rep2,Sample influenced
2025-10-09,Shop R,Kool Chips,6,18,108,Yes,1Free,Accepted,Rep3,Bulk with scheme
2025-10-10,Shop S,Noodles,10,28,280,Yes,FreePacket,Accepted,Rep1,Large order
2025-10-10,Shop T,Wheat Flour,2,40,80,No,,Rejected,Rep2,Prefers competitor
